"site","season","seasonal_mean","seasonal_max","seasonal_min","seasonal_90th","seasonal_10th","seasonal_range","seasonal_corrected_range","seasonal_avg_gdd"
"GH","Fall",13.1768805954007,16.9711445783133,9.82180722891566,15.3868734939759,10.6999759036145,7.14933734939759,4.68689759036145,8.04342469879518
"GH","Spring",12.4539271212625,17.091592920354,8.99654867256637,15.1987433628319,9.94222123893805,8.09504424778761,5.25652212389381,7.57048230088496
"GH","Summer",16.6850493138503,22.3691666666667,12.8189444444444,20.1037666666667,13.7318055555556,9.55022222222222,6.37196111111111,11.9177861111111
"GH","Winter",8.89102031685971,10.9929411764706,6.47647058823529,10.1774705882353,7.26082352941176,4.51647058823529,2.91664705882353,3.71914705882353
"MI","Fall",13.2160521669943,14.0065662650602,12.1627710843373,13.7248855421687,12.8019036144578,1.84379518072289,0.922981927710843,8.26339457831325
"MI","Spring",10.6764810362665,12.8395575221239,9.74761061946903,11.8842389380531,9.9271592920354,3.09194690265487,1.9570796460177,5.90569911504425
"MI","Summer",14.5280072876648,18.0802777777778,12.976,16.19445,13.3605,5.10427777777778,2.83395,9.777475
"MI","Winter",9.66082326584688,10.0201960784314,9.00019607843137,9.88856862745098,9.40486274509804,1.02,0.483705882352941,4.64671568627451
"NR","Fall",13.7844565629003,14.9607228915663,12.2842771084337,14.6085,12.717421686747,2.67644578313253,1.89107831325301,8.66296084337349
"NR","Spring",11.1719421805423,14.6724778761062,9.77920353982301,13.735814159292,9.95877876106195,4.89327433628319,3.77703539823009,6.84729646017699
"NR","Summer",15.5810508625147,20.1817777777778,13.7231111111111,18.5388166666667,13.9798111111111,6.45866666666667,4.55900555555556,11.2593138888889
"NR","Winter",9.45235432447569,10.0239215686275,8.52039215686274,9.87703921568627,8.86139215686275,1.50352941176471,1.01564705882353,4.36921568627451
"CI","Fall",14.450002850071,15.070421686747,13.6196987951807,14.8854096385542,13.9714939759036,1.45072289156627,0.913915662650603,9.42845180722892
"CI","Spring",12.0328406180315,14.9464601769912,10.8892920353982,13.3324336283186,11.0759203539823,4.05716814159292,2.25651327433628,7.20417699115044
"CI","Summer",16.8234130722546,20.7845,14.8100555555556,18.8552944444444,15.1984055555556,5.97444444444444,3.65688888888889,12.02685
"CI","Winter",9.3931887354385,9.72764705882353,8.8978431372549,9.60219607843137,9.159,0.829803921568627,0.443196078431372,4.38059803921569
"CP","Fall",11.8429371585626,12.6713855421687,10.6738554216867,12.3595662650602,11.2842228915663,1.99753012048193,1.07534337349398,6.82189457831325
"CP","Spring",11.4655237687251,16.1819469026549,9.99203539823009,13.7464778761062,10.2392566371681,6.18991150442478,3.50722123893805,6.99286725663717
"CP","Summer",15.4029012320496,21.4361666666667,13.6683888888889,17.6266555555556,13.9172888888889,7.76777777777778,3.70936666666667,10.7719722222222
"CP","Winter",7.99574218762982,8.62098039215686,6.59901960784314,8.40560784313725,7.32643137254902,2.02196078431373,1.07917647058824,2.86601960784314
"WB","Fall",14.9597908521651,15.5170481927711,14.1236746987952,15.3215843373494,14.5559638554217,1.3933734939759,0.765620481927711,9.93877409638554
"WB","Spring",12.7115429629386,13.813982300885,12.0481415929204,13.252407079646,12.266017699115,1.7658407079646,0.986389380530973,7.75921238938053
"WB","Summer",18.4534917608702,19.6185,17.3053333333333,19.1015333333333,17.8274277777778,2.31316666666667,1.27410555555556,13.4644805555556
"WB","Winter",8.89329110166794,9.5521568627451,8.18686274509804,9.34321568627451,8.46219607843137,1.36529411764706,0.881019607843137,3.90270588235294
"PG","Fall",12.3077801530767,12.8707228915663,11.6680120481928,12.6626204819277,11.9736506024096,1.20271084337349,0.688969879518072,7.31813554216868
"PG","Spring",11.2258882121577,13.0614159292035,10.4969911504425,12.094407079646,10.6269734513274,2.56442477876106,1.46743362831858,6.36069026548673
"PG","Summer",15.0320895753291,18.28,13.8595555555556,16.3618222222222,14.0923833333333,4.42044444444444,2.26943888888889,10.2271027777778
"PG","Winter",8.99636171588548,9.37529411764706,8.54078431372549,9.21754901960784,8.77043137254902,0.834509803921569,0.447117647058823,3.99399019607843
